User,Day 1 Pull 1,Day 1 Pull 2,Day 2 Pull 1,Day 2 Pull 2,Day 3 Pull 1,Day 3 Pull 2,Day 4 Pull 1,Day 4 Pull 2,Day 5 Pull 1,Day 5 Pull 2
1,Common_D,Common_C,Common_D,Common_C,Common_E,Common_E,Common_B,Common_C,Common_A,Common_C
2,Common_B,Common_B,Common_B,Common_B,Common_A,Common_D,Rare_C,Common_C,Common_E,Common_C
3,Common_C,Common_B,Common_C,Common_D,Common_D,Common_E,Common_D,Common_B,Common_C,Common_E
4,Common_C,Common_D,Common_D,Common_C,Common_C,Common_D,Common_E,Common_C,Common_B,Common_B
5,Common_D,Common_B,Common_C,Common_B,Common_E,Common_C,Common_A,Common_D,Common_E,Common_C
6,Common_D,Common_A,Rare_D,Common_C,Common_D,Common_E,Common_B,Common_E,Common_D,Common_C
7,Common_D,Common_E,Common_B,Rare_A,Common_D,Common_D,Common_A,Common_C,Common_E,Common_B
8,Common_D,Common_B,Common_D,Common_A,Common_C,Common_E,Common_A,Common_E,Common_C,Common_C
9,Common_B,Common_C,Common_E,Common_E,Common_E,Common_B,Common_A,Common_C,Common_E,Common_C
10,Common_C,Common_C,Common_D,Common_E,Common_B,Common_E,Common_E,Common_B,Common_D,Common_E
11,Common_B,Common_C,Common_C,Common_D,Common_D,Common_B,Common_A,Common_C,Common_E,Common_E
12,Common_D,Common_D,Common_E,Common_E,Common_E,Rare_C,Common_C,Common_B,Common_A,Common_D
13,Common_C,Common_E,Common_E,Common_C,Common_C,Common_C,Common_D,Common_D,Common_B,Common_D
14,Common_D,Common_B,Common_E,Common_A,Common_B,Common_B,Common_D,Common_C,Common_D,Common_C
15,Common_D,Common_A,Common_B,Common_A,Common_C,Common_D,Rare_C,Common_D,Common_A,Common_D
16,Common_A,Common_A,Common_C,Rare_D,Common_E,Common_A,Common_A,Common_E,Common_B,Common_A
17,Common_A,Common_E,Common_E,Common_C,Common_B,Common_E,Common_A,Common_B,Common_D,Common_C
18,Common_E,Common_C,Common_B,Common_A,Common_A,Common_B,Common_E,Common_A,Common_C,Common_A
19,Common_E,Common_D,Common_E,Common_B,Common_B,Common_C,Common_A,Common_B,Common_C,Common_E
20,Common_E,Common_D,Common_C,Common_D,Common_D,Common_D,Common_E,Common_B,Common_E,Common_B
21,Common_E,Common_E,Common_D,Common_C,Common_E,Common_A,Common_B,Common_B,Common_E,Common_E
22,Common_E,Common_D,Common_D,Common_A,Common_A,Common_E,Common_A,Common_D,Common_B,Common_C
23,Common_B,Common_C,Common_D,Common_D,Common_B,Common_E,Common_E,Common_C,Common_C,Common_B
24,Common_B,Common_D,Common_D,Common_A,Common_E,Common_A,Common_A,Common_A,Common_B,Common_A
25,Common_D,Common_C,Common_A,Common_B,Common_B,Common_D,Common_B,Common_B,Common_E,Common_E
26,Common_A,Common_D,Common_B,Common_B,Common_B,Common_E,Common_E,Common_E,Common_B,Common_A
27,Common_E,Common_D,Common_E,Common_C,Common_C,Common_D,Common_D,Common_E,Rare_A,Common_A
28,Common_E,Common_B,Common_A,Common_D,Common_B,Common_E,Common_D,Common_E,Common_D,Common_E
29,Common_B,Common_A,Common_D,Common_D,Common_D,Common_D,Common_B,Common_A,Common_C,Common_A
30,Rare_E,Common_B,Rare_B,Common_D,Common_B,Common_B,Common_B,Rare_A,Common_D,Common_E
31,Common_A,Common_E,Common_D,Common_D,Common_E,Common_C,Common_E,Common_D,Common_E,Common_B
32,Common_E,Common_B,Common_C,Common_A,Common_B,Common_B,Common_A,Common_D,Common_B,Common_B
33,Common_C,Common_B,Common_D,Common_D,Common_A,Common_C,Common_E,Common_B,Common_C,Common_D
34,Common_D,Common_E,Common_A,Common_C,Rare_D,Common_B,Common_E,Common_D,Common_D,Common_D
35,Common_B,Common_D,Rare_D,Common_A,Common_D,Common_C,Rare_D,Common_D,Common_C,Common_A
36,Common_E,Common_C,Common_D,Common_B,Common_E,Common_D,Common_D,Common_E,Common_D,Common_C
37,Common_A,Common_B,Common_C,Common_C,Common_D,Common_C,Common_C,Common_D,Common_C,Common_D
38,Common_B,Common_D,Common_D,Common_E,Common_B,Common_B,Common_A,Common_D,Common_A,Common_D
39,Common_D,Rare_A,Common_B,Common_C,Common_D,Common_B,Common_A,Common_D,Common_D,Common_D
40,Common_A,Common_D,Common_A,Common_C,Common_D,Rare_A,Rare_D,Common_D,Common_A,Common_E
41,Common_D,Common_D,Common_C,Common_E,Common_A,Common_C,Common_C,Common_B,Common_D,Common_D
42,Common_D,Common_D,Common_B,Common_E,Common_E,Common_D,Common_D,Common_A,Rare_A,Common_E
43,Common_B,Common_D,Common_A,Common_B,Common_C,Common_D,Common_A,Common_E,Common_B,Common_E
44,Common_B,Common_C,Common_A,Common_D,Common_D,Common_E,Common_A,Common_B,Common_D,Rare_A
45,Common_D,Common_D,Common_B,Common_C,Common_B,Common_A,Common_A,Common_C,Common_E,Common_D
46,Common_D,Common_D,Common_D,Common_D,Common_E,Common_D,Common_E,Common_D,Rare_D,Common_B
47,Common_E,Rare_A,Rare_D,Common_C,Rare_C,Common_A,Common_B,Common_E,Common_D,Common_E
48,Common_E,Common_C,Common_C,Common_E,Common_D,Common_E,Common_C,Common_C,Common_C,Common_D
49,Common_E,Common_C,Common_C,Common_E,Common_C,Common_C,Common_E,Common_A,Rare_E,Common_E
50,Common_B,Common_C,Common_E,Common_D,Rare_C,Common_E,Common_C,Common_A,Common_E,Common_D
51,Common_D,Common_A,Common_A,Common_C,Common_D,Common_E,Common_D,Common_B,Common_B,Common_E
52,Common_D,Common_C,Common_E,Common_B,Common_B,Common_C,Common_C,Rare_D,Common_E,Common_B
53,Common_D,Rare_D,Common_C,Common_C,Common_D,Rare_C,Common_A,Common_E,Common_D,Common_B
54,Common_D,Common_A,Common_C,Common_C,Common_E,Common_D,Common_E,Common_C,Common_C,Common_E
55,Common_E,Rare_A,Common_A,Common_C,Rare_A,Common_B,Common_D,Common_B,Common_D,Common_A
56,Common_D,Common_E,Common_E,Common_B,Common_B,Common_D,Common_E,Common_C,Common_A,Common_E
57,Common_D,Common_B,Common_C,Common_D,Common_D,Common_E,Common_C,Common_B,Common_C,Common_B
58,Common_D,Common_D,Common_E,Common_B,Common_A,Common_D,Common_D,Common_E,Common_D,Common_A
59,Common_E,Common_C,Common_E,Common_D,Common_D,Common_A,Common_D,Common_A,Common_D,Common_E
60,Common_B,Common_E,Common_C,Common_A,Common_D,Common_A,Common_B,Common_E,Common_B,Common_C
61,Common_E,Common_D,Common_C,Common_D,Common_D,Common_C,Common_E,Common_C,Common_B,Common_D
62,Common_E,Common_C,Common_C,Common_E,Common_D,Common_B,Common_C,Common_D,Rare_C,Common_D
63,Common_D,Common_B,Common_D,Common_D,Common_D,Common_D,Common_B,Common_C,Common_C,Common_B
64,Common_C,Common_E,Rare_E,Common_D,Common_A,Common_C,Common_D,Common_B,Common_D,Common_C
65,Common_D,Common_D,Common_D,Common_D,Common_C,Common_B,Common_C,Common_C,Common_D,Common_C
66,Common_B,Rare_D,Common_B,Common_C,Common_C,Common_C,Common_A,Common_E,Common_D,Common_A
67,Common_C,Common_D,Common_B,Common_D,Common_C,Common_D,Common_A,Common_B,Common_E,Common_B
68,Common_B,Common_D,Common_B,Common_D,Common_E,Common_B,Common_D,Common_B,Common_C,Common_E
69,Common_A,Common_E,Common_B,Common_D,Common_D,Common_A,Common_C,Common_D,Common_E,Common_D
70,Common_A,Common_A,Common_D,Common_B,Common_B,Common_B,Common_B,Common_E,Common_E,Common_D
71,Common_D,Common_B,Common_D,Common_A,Common_B,Common_D,Common_C,Common_D,Common_E,Common_A
